KASTS,SLWWW,THUIR,baseline
0.9531,0.7010,0.8435,0.9601
0.0647,0.4025,0.2707,0.0000
0.0000,0.0000,0.0000,0.0000
0.0461,0.0097,0.0675,0.0152
0.5373,0.5661,0.5475,0.5075
0.1667,0.0000,0.1333,0.0000
0.7889,0.7044,0.7806,0.5556
0.4548,0.0833,0.3311,0.1000
0.0176,0.0740,0.0492,0.3191
0.2081,0.0231,0.2874,0.1909
0.5467,0.7597,0.8000,0.4970
0.3528,0.7792,0.9353,0.5367
0.2267,0.5644,0.8900,0.2738
0.6067,0.5097,0.8760,0.6366
0.6359,0.5454,0.7827,0.5231
0.2636,0.1853,0.3448,0.1651
0.4847,0.6101,0.1619,0.0071
0.2565,0.1361,0.0542,0.0111
0.0542,0.1817,0.0724,0.0000
0.1167,0.2000,0.0000,0.0000
0.1221,0.4314,0.2389,0.0719
0.1333,0.0333,0.0933,0.1320
0.2722,0.2860,0.2500,0.2071
0.5980,0.6926,0.8308,0.4805
0.8117,0.5225,0.5542,0.6563
0.2100,0.5094,0.8456,0.2992
0.6205,0.5080,0.4556,0.3654
0.3248,0.2565,0.2981,0.1870
0.5194,0.4678,0.5298,0.3986
0.4112,0.4509,0.5958,0.1417
0.4500,0.4431,0.5056,0.4579
0.3056,0.0831,0.2917,0.1000
0.2513,0.0000,0.1222,0.3017
0.0878,0.3727,0.0000,0.0000
0.0133,0.1185,0.1203,0.0083
0.1742,0.0958,0.2399,0.1667
0.6060,0.5136,0.5785,0.4891
0.6268,0.3419,0.8630,0.6665
0.2154,0.5390,0.2821,0.1933
0.5857,0.4435,0.9639,0.7872
0.2050,0.0375,0.1339,0.2973
0.5483,0.2233,0.1671,0.4125
0.1700,0.3389,0.5366,0.0100
0.5576,0.8870,0.9888,0.3803
0.9324,0.9000,0.9075,0.8992
0.4559,0.7844,0.5224,0.6667
0.7871,0.5096,0.7074,0.0500
0.7464,0.8505,0.6495,0.4723
0.0333,0.2939,0.0222,0.0333
1.0000,1.0000,0.9324,1.0000
